"transcriptID","geneID","feature","id","fc","pval","qval"
"gene-PA4547","pilR","transcript","4672",358.942634563635,0.0479159389827508,0.947188505654787
"gene-PA5023",".","transcript","5180",0.0231918359195669,0.0480086148028608,0.947188505654787
"gene-PA3428",".","transcript","3513",3.58201454219048e-06,0.0483061836344976,0.947188505654787
"gene-PA2276",".","transcript","2323",4807.87306991027,0.0485164331353638,0.947188505654787
"gene-PA1108",".","transcript","1134",43.2960828732325,0.0487870444784689,0.947188505654787
"gene-PA3192","gltR","transcript","3270",1.22908402974111e-07,0.0489523199775981,0.947188505654787
"gene-PA4304","rcpA","transcript","4417",35.6841936378684,0.0490419276773845,0.947188505654787
"gene-PA2688","pfeA","transcript","2743",0.137691966290243,0.0490985340064836,0.947188505654787
"gene-PA5195",".","transcript","5355",9666.21693736739,0.049480701180588,0.947188505654787
"gene-PA3695",".","transcript","3790",0.00434867868373396,0.0495133247326727,0.947188505654787
"gene-PA1269",".","transcript","1298",54.9704427215177,0.0497245836245195,0.947188505654787
"gene-PA2721",".","transcript","2776",0.00243533295733681,0.0497730243777093,0.947188505654787
"gene-PA2144","glgP","transcript","2190",0.00712839054080738,0.0498121837298895,0.947188505654787
"gene-PA3885","tpbA","transcript","3982",0.000160863294941514,0.0506657705627498,0.947188505654787
"gene-PA1990","pqqH","transcript","2035",2.17767484852238e-11,0.0506924005966967,0.947188505654787
"gene-PA0938",".","transcript","961",0.00137422033540192,0.0511979510039466,0.947188505654787
"gene-PA1781","nirB","transcript","1818",0.102156764622862,0.0512352096228137,0.947188505654787
"gene-PA1197",".","transcript","1226",23138.4334130359,0.0514712460127067,0.947188505654787
"gene-PA4278",".","transcript","4385",0.140132963306197,0.0517660341221484,0.947188505654787
"gene-PA1070","braG","transcript","1096",9.44469599125889e-08,0.051784073903398,0.947188505654787
"gene-PA0698",".","transcript","710",49720616654.523,0.0521731554300566,0.947188505654787
"gene-PA4866",".","transcript","5020",12590.7089144724,0.0522352573557284,0.947188505654787
"gene-PA2141",".","transcript","2186",3.04453720953854e-10,0.0522718860176491,0.947188505654787
"gene-PA2752",".","transcript","2809",2.15800015525487e-08,0.052310922210675,0.947188505654787
"gene-PA1091","fgtA","transcript","1117",0.0185341986015697,0.052386475607041,0.947188505654787
"gene-PA1128",".","transcript","1156",386.29576568824,0.052843149255174,0.947188505654787
"gene-PA5362",".","transcript","5525",207.160780010298,0.0536106359963266,0.947188505654787
"gene-PA4238","rpoA","transcript","4339",878.317688028954,0.0536111916461569,0.947188505654787
"gene-PA5534",".","transcript","5701",45.2654013580479,0.0537104314706525,0.947188505654787
"gene-PA0743",".","transcript","758",3.82933565391e-07,0.0537504410617171,0.947188505654787
"gene-PA0758",".","transcript","772",0.150492699301659,0.054319773673998,0.947188505654787
"rna-PA0527.1","rsmY","transcript","534",0.00712633307920203,0.0548274544945424,0.947188505654787
"gene-PA2714",".","transcript","2769",0.00330667056044984,0.0552223020402947,0.947188505654787
"gene-PA1342",".","transcript","1372",7.6940907340496e-07,0.0556429189509513,0.947188505654787
"gene-PA1110",".","transcript","1136",138.852839798995,0.0558773565120334,0.947188505654787
"gene-PA1380",".","transcript","1410",21.2055603945415,0.0560447660893666,0.947188505654787
